Order Number,SKU,Product Name,Human chosen packaging,Price,Product Package Type (termando defined),Weight,Length,Width,Height
500028335,A147068,Royal Canin Ageing +12 Senior Cat Food in Gravy 85g,1 Box,2.49,1,0.1,15,9.5,1
500028335,A147069,Royal Canin Sensitive Digestion Cat Food in Gravy 85g,1 Box,2.49,1,0.1,15,9.5,1
500028460,A130707,Catit Grey Enclosed Cat Litter Tray,1 Satchel/Bag,93.98,2,1,53,40,47
500028460,A165860,Outward Hound Fun Feeder Dog Bowl Drop Teal,1 Satchel/Bag,43.98,1,0.3,12.5,11.6,2.3
500028476,A174842,Hills Science Diet Small Bites Puppy Food 2kg,1 Carton,36.86,1,2.25,20,12,41
500028480,A118169,Royal Canin Labrador Adult Dog Food 12kg,1 Satchel/Bag,145.96,2,12.1,37,12,82
500028487,A137990,Entertaineze Puzzle Ball Small Dog Toy,1 Box,24.99,1,0.27,24.5,16,8.5
500028514,A236154,Ezydog Drive Harness Medium,1 Box,164.97,1,,,,
500028514,A152316,Primal Beef & Vegetable Dog Food 390g,1 Box,3.29,1,0.44,7.5,7.5,11
500028514,A152317,Primal Lamb & Vegetable Dog Food 390g,1 Box,3.29,1,0.44,7.5,7.5,11
500028517,A164804,Petrageous Silly Kitty Lime Green Oval Bowl,1 Box,19.94,1,0.33,15.8,9.8,4
500028517,A140219,Trixie Comic Cat Ceramic Cat Dish 200ml,1 Box,14.76,1,0.35,12.5,12.5,4
500028517,A140220,Trixie Placemat Comic Cat,1 Box,9.94,1,0.06,33.5,28,1
500028517,A177037,Beco Can Cover Blue,1 Box,6.94,1,0.04,10,3,16
500028517,A177035,Beco Can Cover Green,1 Box,6.94,1,0.04,10,3,16
500028517,A146433,Trouble & Trix GlamourPuss Cat Claw Scissors,1 Box,25.79,1,0.85,20,15,5
500028517,A146435,Trouble & Trix GlamourPuss De-Shedding Brush for Cats,1 Box,36.95,1,0.22,20,15,10
500028580,A173795,Rogz Alleycat Safeloc Kitten Collar Black 8mm,1 Satchel/Bag,16.96,1,0.01,20.5,2,4
500028599,A145167,Topflite Poultry Scratch & Lay 20kg,"1 Satchel/Bag
1 Satchel/Bag",38.77,2,20,62,45,10
500028601,A151512,Purina Cat Chow Complete Cat Food 7.26kg,1 Box,49.99,1,7.37,8.9,37.5,55.9
500028604,A235661,Canine Digest-Aid With Probiotics 200g,"1 Box
1 Satchel/Bag",29.95,1,,,,
500028604,A157076,Iams Hairball Control Adult Cat Food 2.55kg,"1 Box
1 Satchel/Bag",44.99,1,2.65,35,23,10
500028604,A174837,Hills Science Diet Active Longevity 7+ Adult Dog Food 12kg,"1 Box
1 Satchel/Bag",139.94,1,12.21,40,56.8,14.5
500028604,A150636,Iams Lamb & Chicken Adult Cat Food 3kg,"1 Box
1 Satchel/Bag",44.99,1,3.04,21,12.5,40
500028614,A143671,Fancy Feast Gravy Lovers WhiteFish in Sauteed Seafood Flavoured Gravy 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028614,A144054,Dine Daily Cuts in Gravy with Beef & Liver Cat Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500028614,A144063,Dine Daily Saucy Morsels with Tuna Mornay & Cheese Cat Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500028614,A177616,Sophresh Cat Litter Crystal 12L,1 Box,29.99,2,5.86,47,30,10
500028663,A129261,Chasers Floats Holee Bowler Dog Toy Small,1 Satchel/Bag,17.96,1,0.2,10,10,10
500028663,A127551,Funny Chicken Small Dog Toy,1 Satchel/Bag,13.98,1,0.1,30,13,8
500028682,A113040,Fancy Feast Chunky Chicken Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028682,A113049,Fancy Feast Classic Ocean Whitefish & Tuna Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028682,A133568,Fancy Feast Ocean Whitefish Kitten Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028682,A144050,Dine Daily with Tender Chicken Kitten Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500028682,A237359,Black Hawk Chicken Grain Free Dog Can 400g,1 Box,4.74,1,0.1,10,10,10
500028685,A176260,Iams Large Breed Dog Food 12kg,1 Satchel/Bag,84.96,2,12.2,15,37,80
500028696,A115461,Hartz Whitener Dog Shampoo 532ml,1 Parcel,25.88,1,0.56,6.5,6.5,22
500026062,A130706,Catit Blue Enclosed Cat Litter Tray,1 Satchel/Bag,93.98,2,1,53,40,47
500026147,A176767,Fresh Smileezz Grain Free Dental Dog Treats Small 340g,1 Box,29.97,1,,,,
